text_clean,sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
wow its an onam chilling vibe song...superbb...choreography superbb..song chill vibe..,1,10,2,86,10,0.0,0.0,1.0,0.0,8,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഓണ കതതകകമലല നഥ,0,3,0,24,0,0.0,0.0,1.0,0.0,8,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super mood ,1,3,0,13,0,0.0,0.0,1.0,0.0,8,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത മഡ.....തറൻ മട ,0,4,0,25,5,0.0,0.0,1.0,0.0,8,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tracking ahnnla full,0,3,0,21,0,0.0,0.0,1.0,0.0,8,5,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"പനനമട, പനചചമട, പയറമട, നലലമട,അയണമട, പങങമട only tvm mood",0,8,0,81,7,0.0,0.0,1.0,0.0,7,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pwoli bibin super,0,3,0,17,0,0.0,0.0,1.0,0.0,7,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vere level,0,2,0,10,0,0.0,0.0,1.0,0.0,7,5,7,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
സപപർ ,1,2,0,13,0,0.0,0.0,1.0,0.0,6,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pwliiii mood,1,2,0,14,0,0.0,0.0,1.0,0.0,6,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kurachu nerathe aay poy,0,4,0,23,0,0.0,0.0,1.0,0.0,6,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jazar clicks koode venamaayirunnu,0,4,0,33,0,0.0,0.0,1.0,0.0,6,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this one bangs. perfect onam song from fejo  team ,1,11,2,53,1,0.0,0.0,1.0,0.0,6,5,7,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.2
poli mood ,1,3,0,11,0,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
സതയതതൽ song ഒര avarage ഉളള ദൽഷയട friend റസനറ dance കളള ,0,11,0,74,0,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
 അടപള മഡ,1,3,0,15,0,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ഏത മട പള മട, ഇതനറ ഫണടർ ജസർ ",0,8,0,42,1,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam mood ,1,3,0,11,0,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
makkaley ithu polikkam,1,3,0,24,0,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wohooo ntha oru power for the song and the danz  ellavarkum same energy and ithu kaanunna viewersnum,1,18,6,106,0,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
അടപള എനകക ഇഷട ആയ.. പരതത ഇഷട ആയ ,1,8,0,51,2,0.0,0.0,1.0,0.0,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehhhh ragul chandran,1,3,0,22,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത മഡ.... ഒലകകട മഡ ....,0,5,0,33,8,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olakkede mood,0,2,0,13,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee patte kollam videographer editor kke pwoliche ,0,8,0,51,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire song,1,2,0,10,0,0.0,0.0,1.0,0.0,4,5,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഓണ തടങങയലല ,1,3,0,20,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"music pora , song te mothathil ulla tone kollilla .. beats kollam .., bakki lyrics , visuals. camera, costumes choreography okke super nalla oru tone ulla onam song okke vannittu ethra kalamayi ???",1,33,0,198,12,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
fejo യകക പകര mg എങങന ആയരനന ഒനന ആലചചച നകകയ പവർ ,0,11,0,70,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"narain ,babu antony ,shabreesh and gauri set",0,7,1,45,2,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radhikaaa ,1,2,0,15,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radhika fans like adi,1,4,0,22,0,0.0,0.0,1.0,0.0,4,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice mood,1,2,0,9,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge ayi,0,2,0,12,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
congrats team .,1,3,0,15,1,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ee ഓണ ആഹ ,1,4,0,13,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nta fejo anna...ntru moodu ithu,-1,5,0,32,3,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam aayo,0,2,0,10,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
powli mood ,1,3,0,16,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olakkeda mood,0,2,0,15,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ഏതകക മട വനനല 'പറനറയ പനനളകക,' ഇതനറ അടതത എതതലല",0,8,0,69,3,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
അവനറ തനതയട mood,0,3,0,20,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam thookii,0,2,0,13,0,0.0,0.0,1.0,0.0,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam mood set anuu,1,4,0,22,0,0.0,0.0,1.0,0.0,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏഹ ഓണമയ  നമമൾ ഇതനന അറയനനലലല ,0,7,0,49,0,0.0,0.0,1.0,0.0,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഓണ മഡ എനനഴതയൽ ഓണ മഡ ആവമനന ഈ 'മഢൻ'മരട ആരണ പറഞഞത.. ഒലകകട മട,0,12,0,85,4,0.0,0.0,1.0,0.0,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഒലകകട mood,0,2,0,13,0,0.0,0.0,1.0,0.0,2,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waste song,-1,2,0,10,0,0.0,0.0,1.0,0.0,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
ഓണവ റസന ഒനനചചപപൾ കട മഡ ,0,6,0,42,0,0.0,0.0,1.0,0.0,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
റസൻറ കട ദൽഷ കട ഉണടയരനനങകൽ song കറചച കട colurfull ആയന ,0,11,0,79,0,0.0,0.0,1.0,0.0,0,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
krrrrrr prrrrrrr മലബർർർർർർർർയർ,0,3,0,31,0,0.0,0.0,1.0,0.0,21,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fejo nn ndha pattiyee broo seen aakele,0,7,0,38,0,0.0,0.0,1.0,0.0,21,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam aaya,0,2,0,10,0,0.0,0.0,1.0,0.0,21,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poliii ,1,2,0,8,0,0.0,0.0,1.0,0.0,21,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
കട ഐററ ബബൻ bro പളചചടകക,0,5,0,44,0,0.0,0.0,1.0,0.0,21,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
our kerala ,1,3,1,12,0,0.0,0.0,1.0,0.0,21,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഒലകകട മഡ,0,2,0,12,0,0.0,0.0,1.0,0.0,20,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eee onam ivar thooookkkiiiiiii,0,4,0,30,0,0.0,0.0,1.0,0.0,20,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003 ജലലല ജലലല...അനനകകള ന എനനല..,0,5,0,51,5,0.0,0.0,1.0,0.0,20,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
കതതല മഡ ,0,3,0,15,0,0.0,0.0,1.0,0.0,20,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
കളളലല ,-1,2,0,11,0,0.0,0.0,1.0,0.0,20,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olakkede moodu ,1,3,0,17,0,0.0,0.0,1.0,0.0,19,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olakade moodu,0,2,0,13,0,0.0,0.0,1.0,0.0,19,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trollinulla ella chansum knunnu,1,4,0,32,0,0.0,0.0,1.0,0.0,19,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thee thee,0,2,0,10,0,0.0,0.0,1.0,0.0,19,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramzan okke 6th std muthal active aanu 2010 njanokke 3d std live kandatha ingerde energy അനനമനന ,0,17,0,104,0,0.0,0.0,1.0,0.0,19,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
powli ,1,2,0,8,0,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഓണ ഈ പരവശയ മഡ കണട പക,0,6,0,34,0,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത mood സങ mood ,1,5,0,20,0,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice mood ,1,3,0,11,0,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pwoli mood...,1,2,0,14,3,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pwoli mood,1,2,0,11,0,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത മഡ ...പറ മട...,0,4,0,23,6,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eth mood ? fejo mood,0,5,0,21,1,0.0,0.0,1.0,0.0,18,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fejo ivide jathiyilla pwoli,1,4,0,33,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111 spotted ,0,3,0,14,1,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apo ithavana onam ഏത മഡ  kondoyi ,1,8,0,69,2,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
നരൻ ആരല ഒര ഉപപടട നരങങ വളള കട -,0,8,0,44,1,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
തലല മഡണ ,0,3,0,14,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yeth mood olakkede mood,0,4,0,24,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wow kathum,1,2,0,12,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
പള ,1,2,0,7,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
മലയളതതനറ പവർ സററർ എവട,0,4,0,31,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam september vare wait cheyyam gooys.. paat nerathe ethi,0,9,0,58,2,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
njammale jazar nte poli mood ,0,6,0,30,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
powli mood,1,2,0,11,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഈ പടടല ഫസററ ഭഗ dabzze പടയരനനങകൽ പള ആയന ,0,9,0,61,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
സഷയൽ മഡയ മഴവൻ ഈ പടടനറ റലകൾ കണട നറയ,0,8,0,53,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ayyeee ithenth paatt,1,3,0,23,0,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthakhfirullah ramzan is the month of muslim but what he is doing i dont know why he is in living in name of muslim i dont like it my name is ahmmed anan but i will never act in movie i will die in imaan inshallah,-1,46,26,214,0,0.0,0.0,1.0,0.0,17,4,7,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
fejo fans come oonnnnn!!,1,4,0,26,2,0.0,0.0,1.0,0.0,17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice song ,1,3,0,12,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam mood started.. ee onam onam mood kondupoyi...,1,8,0,53,5,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice song ,1,3,0,12,2,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vibe സധന,1,2,0,13,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uff mone. e onam song thooki. really fantastic,1,8,0,46,2,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full mood vibe ,1,4,0,17,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fejo fans here ,1,4,1,16,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത mood? സഹസ mood ,1,5,0,24,1,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഉലകകയട മട,0,2,0,16,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"onam vibes at their best! fejos rap, gouri kishans charm, and that festive energythis track perfectly captures the spirit of onam. loved it!",1,23,6,143,5,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.2
142 ഇതനന നകക വചച  കതത കയറ,0,7,0,39,1,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
എനത മലര റൽ എടകകനനവൻ ആണ,0,5,0,31,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 onam song thooki ,0,5,0,24,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mood item ,0,3,0,11,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moodu song ,1,3,0,13,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ramzan പള,0,2,0,11,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethu moodu 2025 onammood ...,1,5,0,31,3,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shabareesh chettan polichu ,1,4,0,38,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഇത കതത,1,2,0,15,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poli moooood,1,2,0,20,0,0.0,0.0,1.0,0.0,16,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super dance ,1,3,0,13,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
nice song,1,2,0,10,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethu mood .. trending mood,0,5,0,26,2,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
പള മഡ ,1,3,0,13,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its a fejo party!!!!!! always killing it!!!,1,7,1,44,9,0.0,0.0,1.0,0.0,15,4,7,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
ഓണ മഡ പളയണ....,0,3,0,21,4,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onatine irikiyal nice arnn,1,4,0,26,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mood sanam,0,2,0,11,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malayalis are busy ! seems these tamil actors are struggling?,-1,10,3,61,2,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee onam ee patt thoookki... enn parayanamayirikkum alle ? ,0,10,0,61,6,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge aayi ,0,3,0,14,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
കളർ ഫൾ മഡ ,1,4,0,16,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam mood on,0,3,1,12,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eth mood  thengade mood,1,5,0,25,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഇടസ നസ ,1,3,0,12,0,0.0,0.0,1.0,0.0,15,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
അങങന ഓണ ഈ പടട ഭരകക,0,5,0,30,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fejo vinayak sasikumar ഈ ഓണ തകക  bibinashokmusical,1,8,0,60,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത മഡ പള മഡ ,0,5,0,20,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത മഡ ഒലകകട മഡ  new gen പളളരട vibe ആണ പല തഫഫ,0,12,0,65,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sett settt settt,1,3,0,19,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verum varsha poli,0,3,0,17,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
റസൻ ദൽഷയട കട dance കളചച അങങന അവസന സനമയൽ എതതയലല എനതയല ഓണ mood അടപള ആയടടണട ,0,15,0,111,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
school and college onam celebrations thookiiii,0,6,1,46,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
onathin polikan fire fejoqq,0,4,0,27,0,0.0,0.0,1.0,0.0,14,4,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഏത മഡ ,1,3,0,10,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myr mood,0,2,0,9,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ഇതതവണതത ഓണതതന കളജകളല, നടടൻപറങങളല നറഞഞടൻ പററയ ഐററ ",0,8,0,80,1,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008 narain,0,2,0,12,1,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
song is really good but the editing is so choppy,1,10,5,48,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
vatteppam cheythu xmas colour aakiyittu poya kalllan aanu music director bibin ashok dhe ippo onavum,0,15,0,102,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.2
ഈ ഓണ തകക,0,3,0,12,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"i watch this movie at first show for harisivaram, i was exited to see in the big screen ",1,19,9,90,1,0.0,0.0,1.0,0.0,14,4,7,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
സര മട ,0,3,0,11,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiting for sahasam ,1,4,1,23,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ഓണ നരതത എതതചച പല ,1,5,0,30,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onam thine onam mood must ,0,6,0,28,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
music ondakkan al und. oru nalla lyrics ezhuthan oruthanum illa,0,10,0,63,1,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
ഇത വറ മട അടപള മഡ,0,5,0,26,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee ഓണ ഇവർ തകക,0,4,0,17,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
തടട പടട,0,2,0,13,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks to super 35,1,4,1,18,0,0.0,0.0,1.0,0.0,14,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"damn, എനകക ഇഷടയ..... ഡൻസ മഡ.....",0,5,0,44,11,0.0,0.0,1.0,0.0,14,4,7,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
